ISO3,countryname,year,M4,ADB,HFS,JST,chainlinking_ratio,source,source_change,source_change_count
GBR,United Kingdom,1957,10555.54,,,10555.54,1,JST,,
GBR,United Kingdom,1958,11021.28,,,11021.28,1,JST,,
GBR,United Kingdom,1959,11646.63,,,11646.63,1,JST,,
GBR,United Kingdom,1960,11888.4,,,11888.4,1,JST,,
GBR,United Kingdom,1961,12259.27,,,12259.27,1,JST,,
GBR,United Kingdom,1962,12839.39,,,12839.39,1,JST,,
GBR,United Kingdom,1963,13816.57,,,13816.57,1,JST,,
GBR,United Kingdom,1964,14883.24,,,14883.24,1,JST,,
GBR,United Kingdom,1965,16294.3,,,16294.3,1,JST,,
GBR,United Kingdom,1966,17354.67,,,17354.67,1,JST,,
GBR,United Kingdom,1967,19495.83,,,19495.83,1,JST,,
GBR,United Kingdom,1968,21156,,,21156,1,JST,,
GBR,United Kingdom,1969,22235.09,,,22235.09,1,JST,,
GBR,United Kingdom,1970,24896.98,,,24896.98,1,JST,,
GBR,United Kingdom,1971,28964.95,,,28964.95,1,JST,,
GBR,United Kingdom,1972,35257.42,,,35257.42,1,JST,,
GBR,United Kingdom,1973,43103.82,,,43103.82,1,JST,,
GBR,United Kingdom,1974,47814.51,,,47814.51,1,JST,,
GBR,United Kingdom,1975,53587.5,,,53587.5,1,JST,,
GBR,United Kingdom,1976,59968.2,,,59968.2,1,JST,,
GBR,United Kingdom,1977,68888.39,,,68888.39,1,JST,,
GBR,United Kingdom,1978,79333.7,,,79333.7,1,JST,,
GBR,United Kingdom,1979,90823.22,,,90823.22,1,JST,,
GBR,United Kingdom,1980,106501.5,,,106501.5,1,JST,,
GBR,United Kingdom,1981,121459.3,,,121459.3,1,JST,,
GBR,United Kingdom,1982,136715.8,,,136715.8,1,JST,,
GBR,United Kingdom,1983,154808.8,,,154808.8,1,JST,,
GBR,United Kingdom,1984,175808.8,,,175808.8,1,JST,,
GBR,United Kingdom,1985,201739.1,,,201739.1,1,JST,,
GBR,United Kingdom,1986,233519.1,,,233519.1,1,JST,,
GBR,United Kingdom,1987,272491.2,,,272491.2,1,JST,,
GBR,United Kingdom,1988,319313,,,319313,1,JST,,
GBR,United Kingdom,1989,377045.9,,,377045.9,1,JST,,
GBR,United Kingdom,1990,422204.5,,,422204.5,1,JST,,
GBR,United Kingdom,1991,447467.3,,,447467.3,1,JST,,
GBR,United Kingdom,1992,462935.3,,,462935.3,1,JST,,
GBR,United Kingdom,1993,483503.8,,,483503.8,1,JST,,
GBR,United Kingdom,1994,506377.3,,,506377.3,1,JST,,
GBR,United Kingdom,1995,555945.2,,,555945.2,1,JST,,
GBR,United Kingdom,1996,608522.1,,,608522.1,1,JST,,
GBR,United Kingdom,1997,680127.8,,,680127.8,1,JST,,
GBR,United Kingdom,1998,741333.9,,,741333.9,1,JST,,
GBR,United Kingdom,1999,770691.7,,,770691.7,1,JST,,
GBR,United Kingdom,2000,831569,,,831569,1,JST,,
GBR,United Kingdom,2001,884851.1,,,884851.1,1,JST,,
GBR,United Kingdom,2002,944955.3,,,944955.3,1,JST,,
GBR,United Kingdom,2003,1006433,,,1006433,1,JST,,
GBR,United Kingdom,2004,1079428,,,1079428,1,JST,,
GBR,United Kingdom,2005,1185560,,,1185560,1,JST,,
GBR,United Kingdom,2006,1304358,,,1304358,1,JST,,
GBR,United Kingdom,2007,1442989,,,1442989,1,JST,,
GBR,United Kingdom,2008,1496955,,,1496955,1,JST,,
GBR,United Kingdom,2009,1518131,,,1518131,1,JST,,
GBR,United Kingdom,2010,1556035,,,1556035,1,JST,,
GBR,United Kingdom,2011,1577787,,,1577787,1,JST,,
GBR,United Kingdom,2012,1660130,,,1660130,1,JST,,
GBR,United Kingdom,2013,1722147,,,1722147,1,JST,,
GBR,United Kingdom,2014,1797282,,,1797282,1,JST,,
GBR,United Kingdom,2015,1866046,,,1866046,1,JST,,
GBR,United Kingdom,2016,2000228,,,2000228,1,JST,,
GBR,United Kingdom,2017,2097374,,,2097374,1,JST,,
GBR,United Kingdom,2018,2154778,,,2154778,1,JST,,
GBR,United Kingdom,2019,2237762,,,2237762,1,JST,,
GBR,United Kingdom,2020,2547679,,,2547679,1,JST,,
MEX,Mexico,1890,.022,,.022,,1,HFS,,
MEX,Mexico,1891,.024,,.024,,1,HFS,,
MEX,Mexico,1892,.025,,.025,,1,HFS,,
MEX,Mexico,1893,.025,,.025,,1,HFS,,
MEX,Mexico,1894,.027,,.027,,1,HFS,,
MEX,Mexico,1895,.031,,.031,,1,HFS,,
MEX,Mexico,1896,.037,,.037,,1,HFS,,
MEX,Mexico,1897,.042,,.042,,1,HFS,,
MEX,Mexico,1898,.051,,.051,,1,HFS,,
MEX,Mexico,1899,.059,,.059,,1,HFS,,
MEX,Mexico,1900,.064,,.064,,1,HFS,,
MEX,Mexico,1901,.181,,.181,,1,HFS,,
MEX,Mexico,1902,.208,,.208,,1,HFS,,
MEX,Mexico,1903,.223,,.223,,1,HFS,,
MEX,Mexico,1904,.222,,.222,,1,HFS,,
MEX,Mexico,1905,.26,,.26,,1,HFS,,
MEX,Mexico,1906,.283,,.283,,1,HFS,,
MEX,Mexico,1907,.3,,.3,,1,HFS,,
MEX,Mexico,1908,.311,,.311,,1,HFS,,
MEX,Mexico,1909,.352,,.352,,1,HFS,,
MEX,Mexico,1910,.39,,.39,,1,HFS,,
MEX,Mexico,1911,,,,,1,HFS,,
MEX,Mexico,1912,,,,,1,HFS,,
MEX,Mexico,1913,,,,,1,HFS,,
MEX,Mexico,1914,,,,,1,HFS,,
MEX,Mexico,1915,,,,,1,HFS,,
MEX,Mexico,1916,,,,,1,HFS,,
MEX,Mexico,1917,,,,,1,HFS,,
MEX,Mexico,1918,,,,,1,HFS,,
MEX,Mexico,1919,,,,,1,HFS,,
MEX,Mexico,1920,,,,,1,HFS,,
MEX,Mexico,1921,,,,,1,HFS,,
MEX,Mexico,1922,,,,,1,HFS,,
MEX,Mexico,1923,,,,,1,HFS,,
MEX,Mexico,1924,,,,,1,HFS,,
MEX,Mexico,1925,.4,,.4,,1,HFS,,
MEX,Mexico,1926,.5,,.5,,1,HFS,,
MEX,Mexico,1927,.4,,.4,,1,HFS,,
MEX,Mexico,1928,.6,,.6,,1,HFS,,
MEX,Mexico,1929,.6,,.6,,1,HFS,,
MEX,Mexico,1930,.6,,.6,,1,HFS,,
MEX,Mexico,1931,.2,,.2,,1,HFS,,
MEX,Mexico,1932,.3,,.3,,1,HFS,,
MEX,Mexico,1933,.5,,.5,,1,HFS,,
MEX,Mexico,1934,.5,,.5,,1,HFS,,
MEX,Mexico,1935,.5,,.5,,1,HFS,,
MEX,Mexico,1936,.8,,.8,,1,HFS,,
MEX,Mexico,1937,.8,,.8,,1,HFS,,
MEX,Mexico,1938,.8,,.8,,1,HFS,,
MEX,Mexico,1939,1,,1,,1,HFS,,
MEX,Mexico,1940,1.2,,1.2,,1,HFS,,
MEX,Mexico,1941,1.4,,1.4,,1,HFS,,
MEX,Mexico,1942,2,,2,,1,HFS,,
MEX,Mexico,1943,3,,3,,1,HFS,,
MEX,Mexico,1944,3.9,,3.9,,1,HFS,,
MEX,Mexico,1945,4.4,,4.4,,1,HFS,,
MEX,Mexico,1946,4.4,,4.4,,1,HFS,,
MEX,Mexico,1947,4.4,,4.4,,1,HFS,,
MEX,Mexico,1948,5.1,,5.1,,1,HFS,,
MEX,Mexico,1949,5.6,,5.6,,1,HFS,,
MEX,Mexico,1950,7.6,,7.6,,1,HFS,,
MEX,Mexico,1951,9.1,,9.1,,1,HFS,,
MEX,Mexico,1952,9.5,,9.5,,1,HFS,,
MEX,Mexico,1953,11.4,,11.4,,1,HFS,,
MEX,Mexico,1954,12.4,,12.4,,1,HFS,,
MEX,Mexico,1955,14.8,,14.8,,1,HFS,,
MEX,Mexico,1956,16.1,,16.1,,1,HFS,,
MEX,Mexico,1957,17.3,,17.3,,1,HFS,,
MEX,Mexico,1958,18.6,,18.6,,1,HFS,,
MEX,Mexico,1959,20.9,,20.9,,1,HFS,,
MEX,Mexico,1960,29.1,,29.1,,1,HFS,,
MEX,Mexico,1961,32.8,,32.8,,1,HFS,,
MEX,Mexico,1962,38.7,,38.7,,1,HFS,,
MEX,Mexico,1963,46.4,,46.4,,1,HFS,,
MEX,Mexico,1964,55.5,,55.5,,1,HFS,,
MEX,Mexico,1965,64,,64,,1,HFS,,
MEX,Mexico,1966,77.2,,77.2,,1,HFS,,
MEX,Mexico,1967,91.6,,91.6,,1,HFS,,
MEX,Mexico,1968,107.1,,107.1,,1,HFS,,
MEX,Mexico,1969,127.6,,127.6,,1,HFS,,
MEX,Mexico,1970,150.9,,150.9,,1,HFS,,
MEX,Mexico,1971,171.9,,171.9,,1,HFS,,
MEX,Mexico,1972,202.6,,202.6,,1,HFS,,
MEX,Mexico,1973,231.2,,231.2,,1,HFS,,
MEX,Mexico,1974,273,,273,,1,HFS,,
MEX,Mexico,1975,346.1,,346.1,,1,HFS,,
MEX,Mexico,1976,395.4,,395.4,,1,HFS,,
MEX,Mexico,1977,521.4,,521.4,,1,HFS,,
MEX,Mexico,1978,704.9,,704.9,,1,HFS,,
MEX,Mexico,1979,973.6,,973.6,,1,HFS,,
MEX,Mexico,1980,1399,,1399,,1,HFS,,
MEX,Mexico,1981,2076,,2076,,1,HFS,,
MEX,Mexico,1982,3649,,3649,,1,HFS,,
MEX,Mexico,1983,6095,,6095,,1,HFS,,
MEX,Mexico,1984,10390,,10390,,1,HFS,,
MEX,Mexico,1985,15789,,15789,,1,HFS,,
MEX,Mexico,1986,32639,,32639,,1,HFS,,
MEX,Mexico,1987,84529,,84529,,1,HFS,,
MEX,Mexico,1988,134317,,134317,,1,HFS,,
MEX,Mexico,1989,202539,,202539,,1,HFS,,
MEX,Mexico,1990,296419,,296419,,1,HFS,,
MEX,Mexico,1991,387982,,387982,,1,HFS,,
MEX,Mexico,1992,465024,,465024,,1,HFS,,
MEX,Mexico,1993,591849,,591849,,1,HFS,,
MEX,Mexico,1994,729091,,729091,,1,HFS,,
MEX,Mexico,1995,880053,,880053,,1,HFS,,
MEX,Mexico,1996,1166200,,1166200,,1,HFS,,
MEX,Mexico,1997,1492630,,1492630,,1,HFS,,
MEX,Mexico,1998,1825484,,1825484,,1,HFS,,
MEX,Mexico,1999,2238603,,2238603,,1,HFS,,
MEX,Mexico,2000,2430673,,2430673,,1,HFS,,
PHL,Philippines,2001,2344528,2344528.1,,,1,ADB,,
PHL,Philippines,2002,2584272,2584272.4,,,1,ADB,,
PHL,Philippines,2003,2678006,2678005.4,,,1,ADB,,
PHL,Philippines,2004,2841902,2841902.1,,,1,ADB,,
PHL,Philippines,2005,3206293,3206293.3,,,1,ADB,,
PHL,Philippines,2006,3801962,3801961.6,,,1,ADB,,
PHL,Philippines,2007,4173730,4173729.5,,,1,ADB,,
PHL,Philippines,2008,4650410,4650409.8,,,1,ADB,,
PHL,Philippines,2009,5117399,5117399.3,,,1,ADB,,
PHL,Philippines,2010,5548262,5548261.3,,,1,ADB,,
PHL,Philippines,2011,5821455,5821455.2,,,1,ADB,,
PHL,Philippines,2012,6252665,6252664.6,,,1,ADB,,
PHL,Philippines,2013,8054207,8054206.3,,,1,ADB,,
PHL,Philippines,2014,9050763,9050762.5,,,1,ADB,,
PHL,Philippines,2015,9888718,9888717.6,,,1,ADB,,
PHL,Philippines,2016,1.12e+07,11214561,,,1,ADB,,
PHL,Philippines,2017,1.25e+07,12486649,,,1,ADB,,
PHL,Philippines,2018,1.36e+07,13610341,,,1,ADB,,
PHL,Philippines,2019,1.49e+07,14937212,,,1,ADB,,
TJK,Tajikistan,2000,151.6,151.6,,,1,ADB,,
TJK,Tajikistan,2001,201.6542,201.65423,,,1,ADB,,
TJK,Tajikistan,2002,293.0835,293.08354,,,1,ADB,,
TJK,Tajikistan,2003,460.1172,460.11714,,,1,ADB,,
TJK,Tajikistan,2004,651.9752,651.97515,,,1,ADB,,
TJK,Tajikistan,2005,1041.142,1041.1416,,,1,ADB,,
TJK,Tajikistan,2006,1513.347,1513.3474,,,1,ADB,,
TJK,Tajikistan,2007,2727.39,2727.3904,,,1,ADB,,
TJK,Tajikistan,2008,2671.204,2671.2037,,,1,ADB,,
TJK,Tajikistan,2009,3759.42,3759.4199,,,1,ADB,,
TJK,Tajikistan,2010,4458.27,4458.2701,,,1,ADB,,
TJK,Tajikistan,2011,5932.813,5932.8125,,,1,ADB,,
TJK,Tajikistan,2012,7092.688,7092.6877,,,1,ADB,,
TJK,Tajikistan,2013,8491.881,8491.8809,,,1,ADB,,
TJK,Tajikistan,2014,9091.982,9091.9827,,,1,ADB,,
TJK,Tajikistan,2015,10789.68,10789.68,,,1,ADB,,
TJK,Tajikistan,2016,14788.22,14788.218,,,1,ADB,,
TJK,Tajikistan,2017,18017.69,18017.686,,,1,ADB,,
TJK,Tajikistan,2018,18944.67,18944.669,,,1,ADB,,
TJK,Tajikistan,2019,22164.43,22164.428,,,1,ADB,,
TJK,Tajikistan,2020,26252.9,26252.903,,,1,ADB,,
